source,target,weight
0,3,10
2,29,10
4,2,5
4,6,5
4,9,10
4,0,5
4,1,5
6,1,5
8,16,5
60,9,10
9,6,5
9,2,5
9,29,5
9,1,5
9,0,5
11,31,10
11,12,5
11,65,5
11,20,5
11,56,10
11,18,10
11,30,5
11,25,5
11,22,5
11,17,10
11,8,5
11,7,5
11,2,5
12,67,5
12,47,10
12,60,5
12,21,5
12,18,10
12,8,5
12,36,10
12,20,5
12,29,5
12,28,10
12,25,5
12,0,5
12,19,5
12,22,10
12,1,5
12,17,10
12,7,5
12,2,5
13,73,5
13,57,10
13,55,5
13,68,5
13,38,10
13,60,5
13,31,10
13,65,5
13,42,10
13,21,5
13,56,10
13,18,10
13,51,10
13,28,10
13,45,10
13,11,5
13,22,10
13,30,10
13,25,5
13,2,5
14,22,10
14,40,5
14,19,10
14,9,5
14,2,5
14,0,5
14,20,5
14,1,5
14,4,5
15,72,10
15,5,5
15,16,10
15,37,10
15,20,5
15,2,5
15,22,5
15,19,5
15,1,5
15,7,5
15,8,5
16,60,5
16,72,10
16,40,5
16,14,5
16,23,10
16,19,5
16,7,5
16,5,5
16,25,5
16,11,5
16,20,5
17,5,5
17,28,5
17,22,10
17,25,5
17,20,5
17,7,5
17,8,5
17,19,5
18,68,10
18,46,5
18,55,5
18,73,5
18,38,10
18,5,5
18,28,10
18,1,5
18,60,5
18,21,5
18,8,5
18,31,10
18,51,10
18,2,5
18,29,5
18,45,10
18,14,5
18,56,10
18,17,5
18,25,5
18,22,10
18,30,10
18,20,5
18,7,5
19,7,5
19,20,5
19,5,5
19,40,10
19,8,5
20,7,5
20,6,5
20,0,5
20,1,5
20,2,5
21,73,5
21,46,10
21,10,5
21,55,5
21,9,5
21,60,10
21,29,5
21,4,5
21,1,5
21,2,5
21,6,5
22,73,5
22,55,5
22,43,10
22,65,10
22,21,5
22,3,5
22,5,5
22,31,10
22,45,10
22,40,5
22,9,5
22,28,10
22,29,5
22,30,10
22,20,5
22,4,5
22,25,5
22,19,5
22,7,5
22,8,5
22,2,5
23,69,10
23,33,10
23,15,5
24,46,10
24,73,5
24,60,10
24,21,5
24,29,5
24,6,5
24,1,5
24,2,5
24,9,5
24,4,5
24,3,5
24,0,5
25,30,10
27,18,5
27,43,10
27,38,10
27,63,10
27,68,10
27,23,5
27,31,5
27,11,5
27,28,5
27,65,10
27,62,10
27,50,10
27,29,5
27,12,5
27,36,10
28,51,10
28,46,5
28,73,5
28,40,5
28,8,5
28,68,10
28,60,5
28,21,5
28,65,10
28,35,10
28,5,5
28,2,5
28,36,10
28,1,5
28,30,10
28,20,5
31,73,5
31,55,5
31,63,10
31,68,10
31,5,5
31,38,10
31,43,10
31,8,5
31,29,5
31,56,10
31,30,5
31,50,10
31,62,10
31,25,5
32,62,5
32,63,5
32,50,5
32,55,5
32,8,5
32,0,5
32,68,10
32,38,10
32,60,5
32,11,5
32,43,10
32,65,10
32,30,5
32,2,5
32,29,5
32,22,5
32,14,5
32,1,5
32,40,5
32,25,5
32,20,5
32,5,5
32,7,5
33,37,10
33,69,10
34,38,10
34,61,10
34,46,5
34,73,5
34,43,10
34,55,5
34,63,10
34,68,10
34,57,5
34,39,10
34,67,10
34,54,10
34,47,10
34,64,10
34,22,5
34,10,5
34,60,5
34,21,5
34,4,5
34,29,5
34,24,5
34,7,5
34,36,5
34,2,5
35,67,5
35,14,5
35,21,5
35,24,5
35,36,10
35,20,5
35,2,5
35,7,5
35,19,5
36,22,5
36,47,10
36,29,5
36,10,5
36,8,5
36,2,5
37,46,5
37,70,5
37,69,10
37,23,5
37,71,10
37,48,10
37,20,5
37,7,5
37,8,5
37,17,5
38,47,5
38,11,5
38,61,10
38,43,10
38,39,5
38,53,10
38,67,10
38,66,5
38,64,10
38,42,10
38,29,5
38,28,5
38,68,10
38,54,10
38,62,10
38,50,10
38,63,10
38,45,10
38,59,10
38,36,5
38,65,10
38,30,5
38,22,5
38,51,10
39,61,10
39,66,5
39,64,10
39,67,10
40,5,5
40,20,5
41,63,5
41,68,5
41,50,10
41,62,10
41,7,5
41,5,5
42,18,5
42,73,5
42,66,5
42,67,10
42,30,5
42,68,10
42,65,5
42,60,5
42,21,5
42,22,5
42,4,5
42,29,5
42,2,5
43,73,5
43,21,5
43,68,10
43,60,5
43,29,5
43,65,10
43,20,5
43,1,5
43,2,5
43,7,5
43,40,5
43,19,5
43,8,5
43,5,5
43,14,5
45,17,5
45,68,10
45,51,10
45,28,5
45,59,10
45,31,5
45,62,10
45,2,5
45,11,5
45,12,5
45,30,5
45,25,5
45,56,10
46,73,5
46,9,5
46,60,10
46,29,5
46,2,5
46,1,5
47,68,10
47,46,5
47,35,5
47,48,5
47,60,5
47,1,5
47,21,5
47,7,5
